arrondissement,tree_count,area_km2,tree_density
75001,1683,1.8246128604866598,922.3874480151976
75002,592,0.99115374474596,597.2837242841008
75003,1284,1.17088282818778,1096.6084471383836
75004,2911,1.60058563150251,1818.7093165814385
75005,2896,2.5393746228453202,1140.4382693070659
75006,1813,2.1530955863928303,842.0434333978611
75007,8727,4.09005718546976,2133.7109982235293
75008,7658,3.88003639704363,1973.6928256227097
75009,1439,2.1783032748713698,660.6059021258066
75010,3752,2.89173944162064,1297.4889597581578
75011,6302,3.66544155248808,1719.3017293434236
75012,13317,16.3147826372674,816.2535962679854
75013,17751,7.14931109107136,2482.8965719744506
75014,12269,5.61487730907921,2185.0878166404686
75015,18142,8.49499408101075,2135.6106698830604
75016,17390,16.3725421289739,1062.1441595942233
75017,12094,5.66883450445393,2133.419134126759
75018,11389,5.99605130811905,1899.4167018848789
75019,15273,6.79265112902648,2248.4593584874597
75020,16621,5.98344603718297,2777.830684310012
